Tarih,,,Value
2025-07-31T06:59:57+03:00,,,6.91
2025-07-31T07:02:57+03:00,,,6.75
2025-07-31T07:05:57+03:00,,,6.68
2025-07-31T07:08:57+03:00,,,6.71
2025-07-31T07:11:57+03:00,,,6.74
2025-07-31T07:14:57+03:00,,,6.84
2025-07-31T07:17:58+03:00,,,6.95
2025-07-31T07:20:57+03:00,,,7.06
2025-07-31T07:23:57+03:00,,,7.16
2025-07-31T07:26:57+03:00,,,7.32
2025-07-31T07:29:57+03:00,,,7.45
2025-07-31T07:32:57+03:00,,,7.59
2025-07-31T07:35:57+03:00,,,7.7
2025-07-31T07:38:58+03:00,,,7.81
2025-07-31T07:41:57+03:00,,,7.81
2025-07-31T07:44:58+03:00,,,7.73
2025-07-31T07:47:57+03:00,,,7.61
2025-07-31T07:50:57+03:00,,,7.5
2025-07-31T07:53:57+03:00,,,7.36
2025-07-31T07:56:58+03:00,,,7.22
2025-07-31T07:59:58+03:00,,,7.06
2025-07-31T08:02:58+03:00,,,6.94
2025-07-31T08:05:58+03:00,,,6.78
2025-07-31T08:08:58+03:00,,,6.67
2025-07-31T08:11:58+03:00,,,6.65
2025-07-31T08:14:58+03:00,,,6.67
2025-07-31T08:17:58+03:00,,,6.72
2025-07-31T08:20:58+03:00,,,6.84
2025-07-31T08:23:58+03:00,,,6.96
2025-07-31T08:26:57+03:00,,,7.08
2025-07-31T08:29:58+03:00,,,7.2
2025-07-31T08:32:58+03:00,,,7.33
2025-07-31T08:35:58+03:00,,,7.47
2025-07-31T08:38:57+03:00,,,7.6
2025-07-31T08:41:57+03:00,,,7.73
2025-07-31T08:44:57+03:00,,,7.8
2025-07-31T08:47:58+03:00,,,7.76
2025-07-31T08:50:57+03:00,,,7.67
2025-07-31T08:53:57+03:00,,,7.54
2025-07-31T08:56:57+03:00,,,7.39
2025-07-31T08:59:58+03:00,,,7.26
2025-07-31T09:02:58+03:00,,,7.2
2025-07-31T09:05:58+03:00,,,7.15
2025-07-31T09:08:58+03:00,,,7.22
2025-07-31T09:11:58+03:00,,,7.2
2025-07-31T09:14:58+03:00,,,7.08
2025-07-31T09:17:58+03:00,,,6.95
2025-07-31T09:20:58+03:00,,,6.82
